User Profile,Title,Date,Location,Description,ImageURL
T Mobile Areana,VEGAS GOLDEN KNIGHTS VS. CALGARY FLAMES,"FEB 21, 2018","Las Vegas, NV","The Vegas Golden Knights are making history, and you can be here to witness it live! Las Vegas’ first-ever major league professional sports team takes the ice at T-Mobile Arena for the 2017-18 NHL season. A limited amount of single game tickets are on sale now.  For more ticket information, please click here.  ",http://www.t-mobilearena.com/assets/img/33003_600x600-Event-Thumbnail-228a04eb04.jpg
T Mobile Areana,VEGAS GOLDEN KNIGHTS VS. VANCOUVER CANUCKS,"FEB 23, 2018","Las Vegas, NV","The Vegas Golden Knights are making history, and you can be here to witness it live! Las Vegas’ first-ever major league professional sports team takes the ice at T-Mobile Arena for the 2017-18 NHL season. A limited amount of single game tickets are on sale now.  For more ticket information, please click here.  ",http://www.t-mobilearena.com/assets/img/33003_600x600-Event-Thumbnail-228a04eb04.jpg
T Mobile Areana,WWE ELIMINATION CHAMBER,"FEB 25, 2018","Las Vegas, NV","The WWE Elimination Chamber event will air live on Pay-Per-View from T-Mobile Arena in Las Vegas Sunday, Feb. 25, 2018. Fans will have the opportunity to see WWE Raw Superstars battle inside 10 tons of unforgiving steel. Head to the Las Vegas Strip to see Roman Reigns, Dean Ambrose, Seth Rollins, Finn Balor, Samoa Joe, The Miz and many more fan favorite WWE Superstars. RESERVED EVENT PARKING AVAILABLE Reserved event parking is available at New York-New York, Monte Carlo and the Aria Event Parking Garage for this event starting at $10. Additional service fees apply. The price increases the day of the event.  For more information, including maps, directions and to purchase passes, please click here. UBER  EVENT DAY RENTALS The Best Access. Entertainment. Sporting Events. Everything. Designed to offer the very best first-class amenities, personal service and an exclusive environment for essentially every event at T-Mobile Arena. The Event Suites are the perfect setting to entertain a client, potential investor, or enjoy an evening out with friends and family. Your suite will either be located on the Event Level or on the Premium Suite Level that accommodates up to 16 to 40 guests.   Includes 16-40 tickets
4-10 VIP parking passes
Prices vary for each event  Please contact us at [email protected] ",http://www.t-mobilearena.com/assets/img/17-ENT-03701-0001-WWE-Logos-600x600-v00-06d50bf183.jpg
T Mobile Areana,VEGAS GOLDEN KNIGHTS VS. LOS ANGELES KINGS,"FEB 27, 2018","Las Vegas, NV","The Vegas Golden Knights are making history, and you can be here to witness it live! Las Vegas’ first-ever major league professional sports team takes the ice at T-Mobile Arena for the 2017-18 NHL season. A limited amount of single game tickets are on sale now.  For more ticket information, please click here.  ",http://www.t-mobilearena.com/assets/img/33003_600x600-Event-Thumbnail-228a04eb04.jpg
T Mobile Areana,VEGAS GOLDEN KNIGHTS VS. OTTAWA SENATORS,"MAR 2, 2018","Las Vegas, NV","The Vegas Golden Knights are making history, and you can be here to witness it live! Las Vegas’ first-ever major league professional sports team takes the ice at T-Mobile Arena for the 2017-18 NHL season. A limited amount of single game tickets are on sale.  For more ticket information, please click here.  ",http://www.t-mobilearena.com/assets/img/33003_600x600-Event-Thumbnail-228a04eb04.jpg
T Mobile Areana,UFC 222: HOLLOWAY VS. EDGAR,"MAR 3, 2018","Las Vegas, NV","Fresh from a finish of Brazilian icon Jose Aldo that earned him the undisputed UFC featherweight championship, Hawaii's Max Holloway risks his title against one of the sport's most respected veterans in Frankie Edgar in the main event of UFC 222. A former UFC lightweight champion, New Jersey's Edgar will attempt to become just the fourth fighter to win UFC titles in two weight classes when he squares off with the surging Holloway, who has won 12 straight on his way to the top of the weight class.   ",http://www.t-mobilearena.com/assets/img/039204_222_T-MobileWebsite_600x600-23ca3d95a9.jpg
T Mobile Areana,PAC-12 MEN'S BASKETBALL TOURNAMENT,"MAR 7 - 10, 2018","Las Vegas, NV",,http://www.t-mobilearena.com/assets/img/2018_MBBT-ads_600x600-4708dd1a53.jpg
T Mobile Areana,VEGAS GOLDEN KNIGHTS VS. NEW JERSEY DEVILS,"MAR 14, 2018","Las Vegas, NV","The Vegas Golden Knights are making history, and you can be here to witness it live! Las Vegas’ first-ever major league professional sports team takes the ice at T-Mobile Arena for the 2017-18 NHL season. A limited amount of single game tickets are on sale now.  For more ticket information, please click here.  ",http://www.t-mobilearena.com/assets/img/33003_600x600-Event-Thumbnail-228a04eb04.jpg
T Mobile Areana,VEGAS GOLDEN KNIGHTS VS. MINNESOTA WILD,"MAR 16, 2018","Las Vegas, NV","The Vegas Golden Knights are making history, and you can be here to witness it live! Las Vegas’ first-ever major league professional sports team takes the ice at T-Mobile Arena for the 2017-18 NHL season. A limited amount of single game tickets are on sale now.  For more ticket information, please click here.  ",http://www.t-mobilearena.com/assets/img/33003_600x600-Event-Thumbnail-228a04eb04.jpg
T Mobile Areana,BON JOVI,"MAR 17, 2018","Las Vegas, NV",Bon Jovi returns to Las Vegas with a stop at T-Mobile Arena during their This House Is Not For Sale Tour on March 17.,http://www.t-mobilearena.com/assets/img/17-ENT-03697-0005-BonJovi-EventThumb-600x600-v00-f75c861c11.jpg
T Mobile Areana,VEGAS GOLDEN KNIGHTS VS. CALGARY FLAMES,"MAR 18, 2018","Las Vegas, NV","The Vegas Golden Knights are making history, and you can be here to witness it live! Las Vegas’ first-ever major league professional sports team takes the ice at T-Mobile Arena for the 2017-18 NHL season. A limited amount of single game tickets are on sale now.  For more ticket information, please click here.  ",http://www.t-mobilearena.com/assets/img/33003_600x600-Event-Thumbnail-228a04eb04.jpg
T Mobile Areana,VEGAS GOLDEN KNIGHTS VS. VANCOUVER CANUCKS,"MAR 20, 2018","Las Vegas, NV","The Vegas Golden Knights are making history, and you can be here to witness it live! Las Vegas’ first-ever major league professional sports team takes the ice at T-Mobile Arena for the 2017-18 NHL season. A limited amount of single game tickets are on sale now.  For more ticket information, please click here.  ",http://www.t-mobilearena.com/assets/img/33003_600x600-Event-Thumbnail-228a04eb04.jpg
T Mobile Areana,VEGAS GOLDEN KNIGHTS VS. COLORADO AVALANCHE,"MAR 26, 2018","Las Vegas, NV","The Vegas Golden Knights are making history, and you can be here to witness it live! Las Vegas’ first-ever major league professional sports team takes the ice at T-Mobile Arena for the 2017-18 NHL season. A limited amount of single game tickets are on sale now.  For more ticket information, please click here.  ",http://www.t-mobilearena.com/assets/img/33003_600x600-Event-Thumbnail-228a04eb04.jpg
T Mobile Areana,VEGAS GOLDEN KNIGHTS VS. PHOENIX COYOTES,"MAR 28, 2018","Las Vegas, NV","The Vegas Golden Knights are making history, and you can be here to witness it live! Las Vegas’ first-ever major league professional sports team takes the ice at T-Mobile Arena for the 2017-18 NHL season. A limited amount of single game tickets are on sale now.  For more ticket information, please click here.  ",http://www.t-mobilearena.com/assets/img/33003_600x600-Event-Thumbnail-228a04eb04.jpg
T Mobile Areana,VEGAS GOLDEN KNIGHTS VS. ST. LOUIS BLUES,"MAR 30, 2018","Las Vegas, NV","The Vegas Golden Knights are making history, and you can be here to witness it live! Las Vegas’ first-ever major league professional sports team takes the ice at T-Mobile Arena for the 2017-18 NHL season. A limited amount of single game tickets are on sale now.  For more ticket information, please click here.  ",http://www.t-mobilearena.com/assets/img/33003_600x600-Event-Thumbnail-228a04eb04.jpg
T Mobile Areana,VEGAS GOLDEN KNIGHTS VS. SAN JOSE SHARKS,"MAR 31, 2018","Las Vegas, NV","The Vegas Golden Knights are making history, and you can be here to witness it live! Las Vegas’ first-ever major league professional sports team takes the ice at T-Mobile Arena for the 2017-18 NHL season. A limited amount of single game tickets are on sale now.  For more ticket information, please click here.  ",http://www.t-mobilearena.com/assets/img/33003_600x600-Event-Thumbnail-228a04eb04.jpg
T Mobile Areana,JUSTIN TIMBERLAKE,"APR 14 - 15, 2018","Las Vegas, NV","Justin Timberlake is bringing his The Man Of The Woods Tour to Las Vegas with a stop at T-Mobile Arena.  Due to sell out shows across North America, Justin Timberlake has revealed ten additional dates for the coveted The Man Of The Woods Tour, including a second show at T-Mobile Arena Sunday, April 15. Tickets for April 15 show will go on sale on January 22.",http://www.t-mobilearena.com/assets/img/Justin-Timberlake-600x600-d83b769764.jpg
T Mobile Areana,U2,"MAY 11, 2018","Las Vegas, NV","Live Nation has confirmed that due to demand a second and final U2 eXPERIENCE + iNNOCENCE Tour date has been confirmed in Las Vegas at T-Mobile Arena on Saturday, May 12. Tickets for the additional Las Vegas performance will go on sale on Monday, Dec. 4 at 10 a.m. PST through Ticketmaster Verified Fan®. Fans wishing to purchase U2 tickets to the second Las Vegas performance will need to register by Tuesday, Nov. 28 at 10 p.m. PST at u2.tmverifiedfan.com. Registration is free and easy and has been effective in making sure that true fans have access to tickets at face value. U2.com Subscribers receive first access and can register beginning today through Friday, Nov. 24 at 9 a.m. EST. Details here http://www.u2.com/tour .  U2.com subscribers will have the first opportunity to purchase tickets beginning Tuesday, Nov. 28 at 10 a.m. and running through Thursday, Nov. 30 at 5 p.m. Citi® is the official credit card for the U2 eXPERIENCE + iNNOCENCE Tour, and as such, Citi cardmembers can take advantage of a special, Citi Presale powered by Verified Fan opportunity for tour dates in the United States. Citi cardmembers can register now through Tuesday, Nov. 28 at 10 p.m. to unlock access to tickets and use their Citi card to complete the ticket purchase if verified. The Citi Presale begins Thursday, Nov. 30 at 9 a.m. and will continue through Saturday, Dec. 2 at 5 p.m. To register for the Citi Presale powered by Verified Fan visit: citiprivatepass.com. Tickets for the Verified Fan public sale in Las Vegas is Monday, Dec. 4 at 10 a.m. PST. All fans must register by Tuesday, Nov. 28 at 10 p.m. PST for the best opportunity to unlock access to tickets. To begin, visit u2.tmverifiedfan.com.  RESERVED EVENT PARKING AVAILABLE Reserved event parking is available at New York-New York, Monte Carlo and the Aria Event Parking Garage for this event starting at $10. Additional service fees apply. The price increases the day of the event.  For more information, including maps, directions and to purchase passes, please click here. UBER  EVENT DAY RENTALS The Best Access. Entertainment. Sporting Events. Everything. Designed to offer the very best first-class amenities, personal service and an exclusive environment for essentially every event at T-Mobile Arena. The Event Suites are the perfect setting to entertain a client, potential investor, or enjoy an evening out with friends and family. Your suite will either be located on the Event Level or on the Premium Suite Level that accommodates up to 16 to 40 guests.   Includes 16-40 tickets
4-10 VIP parking passes
Prices vary for each event  Please contact us at [email protected]. ",http://www.t-mobilearena.com/assets/img/17-ENT-03602-0001-U2-Event-Thumbnail-600x600-v00-f096248232.jpg
T Mobile Areana,U2,"MAY 12, 2018","Las Vegas, NV","Live Nation has confirmed that due to demand a second and final U2 eXPERIENCE + iNNOCENCE Tour date has been confirmed in Las Vegas at T-Mobile Arena on Saturday, May 12. Tickets for the additional Las Vegas performance will go on sale on Monday, Dec. 4 at 10 a.m. PST through Ticketmaster Verified Fan®. Fans wishing to purchase U2 tickets to the second Las Vegas performance will need to register by Tuesday, Nov. 28 at 10 p.m. PST at u2.tmverifiedfan.com. Registration is free and easy and has been effective in making sure that true fans have access to tickets at face value. U2.com Subscribers receive first access and can register beginning today through Friday, Nov. 24 at 9 a.m. EST. Details here http://www.u2.com/tour .  U2.com subscribers will have the first opportunity to purchase tickets beginning Tuesday, Nov. 28 at 10 a.m. and running through Thursday, Nov. 30 at 5 p.m. Citi® is the official credit card for the U2 eXPERIENCE + iNNOCENCE Tour, and as such, Citi cardmembers can take advantage of a special, Citi Presale powered by Verified Fan opportunity for tour dates in the United States. Citi cardmembers can register now through Tuesday, Nov. 28 at 10 p.m. to unlock access to tickets and use their Citi card to complete the ticket purchase if verified. The Citi Presale begins Thursday, Nov. 30 at 9 a.m. and will continue through Saturday, Dec. 2 at 5 p.m. To register for the Citi Presale powered by Verified Fan visit: citiprivatepass.com. Tickets for the Verified Fan public sale in Las Vegas is Monday, Dec. 4 at 10 a.m. PST. All fans must register by Tuesday, Nov. 28 at 10 p.m. PST for the best opportunity to unlock access to tickets. To begin, visit u2.tmverifiedfan.com.  RESERVED EVENT PARKING AVAILABLE Reserved event parking is available at New York-New York, Monte Carlo and the Aria Event Parking Garage for this event starting at $10. Additional service fees apply. The price increases the day of the event.  For more information, including maps, directions and to purchase passes, please click here. UBER  EVENT DAY RENTALS The Best Access. Entertainment. Sporting Events. Everything. Designed to offer the very best first-class amenities, personal service and an exclusive environment for essentially every event at T-Mobile Arena. The Event Suites are the perfect setting to entertain a client, potential investor, or enjoy an evening out with friends and family. Your suite will either be located on the Event Level or on the Premium Suite Level that accommodates up to 16 to 40 guests.   Includes 16-40 tickets
4-10 VIP parking passes
Prices vary for each event  Please contact us at [email protected] ",http://www.t-mobilearena.com/assets/img/17-ENT-03602-0001-U2-Event-Thumbnail-600x600-v00-482f20274b.jpg
T Mobile Areana,P!NK,"MAY 26, 2018","Las Vegas, NV","P!NK will be performing at T-Mobile Arena on Saturday, May 26, 2018. Register now to get access to the Fan Verified Presale. Registration closes Sunday, October 8th at 10:00PM PT. Note: Registration does not guarantee access to tickets. To register and learn more, please click on the link below. https://pink2018.tmverifiedfan.com RESERVED EVENT PARKING AVAILABLE Reserved event parking is available at New York-New York, Monte Carlo and the Aria Event Parking Garage for this event starting at $10. Additional service fees apply. The price increases the day of the event.  For more information, including maps, directions and to purchase passes, please click here. UBER  EVENT DAY RENTALS The Best Access. Entertainment. Sporting Events. Everything. Designed to offer the very best first-class amenities, personal service and an exclusive environment for essentially every event at T-Mobile Arena. The Event Suites are the perfect setting to entertain a client, potential investor, or enjoy an evening out with friends and family. Your suite will either be located on the Event Level or on the Premium Suite Level that accommodates up to 16 to 40 guests.   Includes 16-40 tickets
4-10 VIP parking passes
Prices vary for each event  Please contact us at [email protected].",http://www.t-mobilearena.com/assets/img/17-ENT-03480-0001-Pink-Event-Thumb-600x600-v01-be45c98b75.jpg
T Mobile Areana,PBR WORLD FINALS 2018,"NOV 7 - 11, 2018","Las Vegas, NV","Watch the world’s top riders and bucking bulls go head-to-head in the Professional Bull Riders’ Built Ford Tough Series World Finals! This 5-day event is part of PBR Finals Week, and features action-packed bull riding, plus live concerts, pre-event fan zones, after parties, rider autograph sessions and more! For the latest information visit PBRFINALSWEEK.com.",http://www.t-mobilearena.com/assets/img/WF18_TMAweb_600x600-8a4efc9788.jpg
